incumbent,candidate,metric,incumbent_reps,within_pairs_per_cell,cross_pairs_per_cell,w_a_mean,w_a_sd,c_ab_mean,delta_mean,delta_sd,ci_lower,ci_upper,ci_width,verdict_ci_margin_0.10,modal_replicate_class,replicate_class_stability,p_class_flip_from_sampling
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.execution_excellence,6,15,30,0.64769,0.129383,0.562562,-0.085128,0.173699,-0.458313,0.198571,0.656884,inconclusive,rejected,0.5827,0.4173
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.customer_centric_outcomes,6,15,30,0.728314,0.127751,0.559226,-0.169089,0.173569,-0.528442,0.129277,0.65772,inconclusive,rejected,0.6775,0.3225
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.accelerating_teams,6,15,30,0.844438,0.105963,0.833746,-0.010693,0.093107,-0.220769,0.146998,0.367767,inconclusive,within_margin,0.743,0.257
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_multiset,6,15,30,0.569459,0.127207,0.076336,-0.493124,0.122153,-0.747138,-0.269621,0.477517,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_sequence,6,15,30,0.502344,0.142459,0.076336,-0.426008,0.135288,-0.702108,-0.176714,0.525393,rejected,rejected,0.995,0.005
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.strengths,6,15,30,0.204893,0.063277,0.007318,-0.197576,0.06517,-0.341574,-0.088043,0.253531,inconclusive,rejected,0.9535,0.0465
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.opportunities,6,15,30,0.087532,0.046073,0.001967,-0.085565,0.046499,-0.19295,-0.020533,0.172417,inconclusive,within_margin,0.6823,0.3177
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.areas_of_concern,6,15,30,0.086733,0.053463,0.0,-0.086733,0.053463,-0.208804,-0.009709,0.199095,inconclusive,within_margin,0.6508,0.3492
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.recommendations,6,15,30,0.055877,0.046872,0.001199,-0.054678,0.046979,-0.167922,0.0,0.167922,inconclusive,within_margin,0.834,0.166
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M3.summary,6,15,30,0.755718,0.026955,0.72356,-0.032158,0.026419,-0.084143,0.018787,0.10293,demonstrated,within_margin,0.9945,0.0055
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.technical_craft,8,28,40,0.683372,0.118064,0.699774,0.016401,0.105997,-0.213429,0.2036,0.417028,inconclusive,within_margin,0.6395,0.3605
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.execution_excellence,8,28,40,0.647776,0.119201,0.566036,-0.08174,0.170914,-0.463134,0.189582,0.652716,inconclusive,rejected,0.5635,0.4365
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.customer_centric_outcomes,8,28,40,0.726686,0.122271,0.563539,-0.163147,0.16494,-0.521812,0.121181,0.642993,inconclusive,rejected,0.6573,0.3427
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.accelerating_teams,8,28,40,0.841276,0.100203,0.831108,-0.010168,0.084572,-0.203518,0.136938,0.340456,inconclusive,within_margin,0.7857,0.2143
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_multiset,8,28,40,0.568751,0.121954,0.076746,-0.492004,0.116764,-0.722907,-0.277426,0.445482,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_sequence,8,28,40,0.503718,0.138743,0.076746,-0.426972,0.131606,-0.692242,-0.185084,0.507158,rejected,rejected,0.9988,0.0012
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.strengths,8,28,40,0.204245,0.059072,0.007304,-0.196941,0.060949,-0.33049,-0.096027,0.234463,inconclusive,rejected,0.9655,0.0345
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.opportunities,8,28,40,0.087876,0.042215,0.001974,-0.085903,0.042579,-0.186985,-0.02557,0.161415,inconclusive,within_margin,0.681,0.319
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.areas_of_concern,8,28,40,0.087408,0.047963,0.0,-0.087408,0.047963,-0.200027,-0.011427,0.1886,inconclusive,within_margin,0.6495,0.3505
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.recommendations,8,28,40,0.056552,0.043732,0.001211,-0.055342,0.043894,-0.162194,0.0,0.162194,inconclusive,within_margin,0.8502,0.1498
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M3.summary,8,28,40,0.754705,0.024944,0.722724,-0.031981,0.024487,-0.080091,0.016586,0.096677,demonstrated,within_margin,0.998,0.002
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.technical_craft,10,45,50,0.685793,0.117022,0.696353,0.01056,0.102911,-0.210855,0.185841,0.396696,inconclusive,within_margin,0.653,0.347
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.execution_excellence,10,45,50,0.64717,0.116108,0.564308,-0.082862,0.164168,-0.447569,0.180814,0.628383,inconclusive,rejected,0.5433,0.4567
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.customer_centric_outcomes,10,45,50,0.729565,0.116022,0.557924,-0.171641,0.164654,-0.529157,0.102488,0.631645,inconclusive,rejected,0.6657,0.3343
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.accelerating_teams,10,45,50,0.842158,0.095284,0.833362,-0.008795,0.076299,-0.179509,0.124825,0.304334,inconclusive,within_margin,0.831,0.169
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_multiset,10,45,50,0.566587,0.118944,0.07545,-0.491137,0.114637,-0.732606,-0.282268,0.450338,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_sequence,10,45,50,0.499499,0.13505,0.07545,-0.424048,0.129314,-0.689587,-0.185226,0.504361,rejected,rejected,0.998,0.002
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.strengths,10,45,50,0.20613,0.057273,0.00716,-0.19897,0.059194,-0.326858,-0.099841,0.227017,inconclusive,rejected,0.9748,0.0252
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.opportunities,10,45,50,0.088372,0.039617,0.001993,-0.086379,0.040068,-0.177391,-0.02814,0.149251,inconclusive,within_margin,0.6837,0.3163
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.areas_of_concern,10,45,50,0.087805,0.045147,0.0,-0.087805,0.045147,-0.190989,-0.017005,0.173983,inconclusive,within_margin,0.653,0.347
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.recommendations,10,45,50,0.056405,0.041709,0.001212,-0.055193,0.04185,-0.151854,-0.001284,0.150571,inconclusive,within_margin,0.849,0.151
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M3.summary,10,45,50,0.756227,0.023304,0.723667,-0.032561,0.02327,-0.078341,0.012645,0.090985,demonstrated,within_margin,0.998,0.002
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.technical_craft,12,66,60,0.685972,0.111969,0.698243,0.012271,0.101646,-0.201775,0.190518,0.392294,inconclusive,within_margin,0.66,0.34
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.execution_excellence,12,66,60,0.647161,0.115096,0.567675,-0.079486,0.163278,-0.436586,0.182538,0.619124,inconclusive,rejected,0.5545,0.4455
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.customer_centric_outcomes,12,66,60,0.727732,0.114133,0.559397,-0.168336,0.163904,-0.519378,0.105186,0.624564,inconclusive,rejected,0.6667,0.3333
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.accelerating_teams,12,66,60,0.842539,0.092231,0.832221,-0.010319,0.073565,-0.173932,0.121797,0.295729,inconclusive,within_margin,0.8317,0.1683
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_multiset,12,66,60,0.568634,0.116853,0.07636,-0.492274,0.111468,-0.731595,-0.286238,0.445357,rejected,rejected,1.0,0.0
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M1.opportunity_sequence,12,66,60,0.50392,0.133332,0.07636,-0.42756,0.126727,-0.687386,-0.19155,0.495837,rejected,rejected,0.9985,0.0015
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.strengths,12,66,60,0.205726,0.055673,0.007211,-0.198515,0.057618,-0.32574,-0.103876,0.221864,rejected,rejected,0.9808,0.0192
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.opportunities,12,66,60,0.088733,0.038037,0.002006,-0.086727,0.038415,-0.177654,-0.031276,0.146379,inconclusive,within_margin,0.6775,0.3225
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.areas_of_concern,12,66,60,0.088223,0.043157,0.0,-0.088223,0.043157,-0.186658,-0.01965,0.167007,inconclusive,within_margin,0.6498,0.3502
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M2.recommendations,12,66,60,0.056857,0.04029,0.001224,-0.055633,0.040466,-0.153309,-0.002209,0.1511,inconclusive,within_margin,0.8635,0.1365
gpt-4o-2024-11-20,gpt-5.4-2026-03-05,M3.summary,12,66,60,0.75548,0.022968,0.723827,-0.031653,0.022809,-0.074367,0.014051,0.088418,demonstrated,within_margin,0.9992,0.0008
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.technical_craft,5,10,25,0.686954,0.134041,0.708432,0.021478,0.129234,-0.268973,0.237749,0.506722,inconclusive,within_margin,0.5345,0.4655
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.execution_excellence,5,10,25,0.649176,0.136003,0.410975,-0.238201,0.193565,-0.623556,0.129336,0.752892,inconclusive,rejected,0.7897,0.2103
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.customer_centric_outcomes,5,10,25,0.728763,0.13202,0.686649,-0.042114,0.117152,-0.27713,0.17986,0.45699,inconclusive,within_margin,0.5833,0.4167
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.accelerating_teams,5,10,25,0.843384,0.111076,0.788793,-0.054591,0.11729,-0.309921,0.14395,0.45387,inconclusive,within_margin,0.6148,0.3852
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_multiset,5,10,25,0.564755,0.131558,0.321469,-0.243286,0.157021,-0.564683,0.043496,0.608179,inconclusive,rejected,0.825,0.175
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_sequence,5,10,25,0.498634,0.146178,0.176689,-0.321946,0.155279,-0.637346,-0.026311,0.611035,inconclusive,rejected,0.9227,0.0773
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.strengths,5,10,25,0.204197,0.065557,0.111451,-0.092747,0.080232,-0.26597,0.03974,0.30571,inconclusive,within_margin,0.575,0.425
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.opportunities,5,10,25,0.086761,0.050175,0.052071,-0.03469,0.055286,-0.170884,0.044793,0.215677,inconclusive,within_margin,0.8818,0.1182
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.areas_of_concern,5,10,25,0.086417,0.057952,0.005001,-0.081416,0.057587,-0.220594,0.0,0.220594,inconclusive,within_margin,0.6845,0.3155
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.recommendations,5,10,25,0.055139,0.05033,0.002447,-0.052692,0.049989,-0.180024,0.002143,0.182166,inconclusive,within_margin,0.8427,0.1573
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M3.summary,5,10,25,0.756392,0.029194,0.743537,-0.012855,0.03263,-0.07944,0.048151,0.127591,demonstrated,within_margin,0.9938,0.0062
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.technical_craft,6,15,30,0.685318,0.12779,0.706227,0.020909,0.119304,-0.241299,0.226352,0.467651,inconclusive,within_margin,0.5835,0.4165
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.execution_excellence,6,15,30,0.64995,0.129372,0.412253,-0.237697,0.186032,-0.62303,0.104123,0.727154,inconclusive,rejected,0.7823,0.2177
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.customer_centric_outcomes,6,15,30,0.728992,0.125183,0.687688,-0.041304,0.110211,-0.25838,0.173525,0.431905,inconclusive,within_margin,0.608,0.392
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.accelerating_teams,6,15,30,0.842223,0.107636,0.788696,-0.053527,0.112116,-0.302114,0.139798,0.441912,inconclusive,within_margin,0.6362,0.3638
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_multiset,6,15,30,0.568004,0.127059,0.319908,-0.248096,0.151344,-0.545652,0.035112,0.580764,inconclusive,rejected,0.8377,0.1623
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_sequence,6,15,30,0.501762,0.140771,0.176189,-0.325573,0.148209,-0.621092,-0.045199,0.575893,inconclusive,rejected,0.9363,0.0637
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.strengths,6,15,30,0.204191,0.062426,0.111593,-0.092599,0.077143,-0.264509,0.037372,0.301881,inconclusive,within_margin,0.5665,0.4335
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.opportunities,6,15,30,0.088002,0.046922,0.051295,-0.036707,0.051901,-0.156749,0.042422,0.199172,inconclusive,within_margin,0.878,0.122
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.areas_of_concern,6,15,30,0.087391,0.053497,0.0051,-0.082291,0.052966,-0.205835,0.0,0.205835,inconclusive,within_margin,0.676,0.324
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.recommendations,6,15,30,0.056642,0.047522,0.002355,-0.054287,0.047147,-0.166668,0.00119,0.167858,inconclusive,within_margin,0.8347,0.1653
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M3.summary,6,15,30,0.755657,0.026849,0.742891,-0.012766,0.030483,-0.076465,0.042632,0.119097,demonstrated,within_margin,0.9938,0.0062
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.technical_craft,8,28,40,0.683788,0.118229,0.709477,0.025689,0.105428,-0.199453,0.207434,0.406887,inconclusive,within_margin,0.63,0.37
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.execution_excellence,8,28,40,0.646723,0.117666,0.411219,-0.235504,0.174248,-0.591819,0.085132,0.676951,inconclusive,rejected,0.8003,0.1997
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.customer_centric_outcomes,8,28,40,0.729714,0.119625,0.688141,-0.041573,0.106602,-0.258579,0.159965,0.418544,inconclusive,within_margin,0.6248,0.3752
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.accelerating_teams,8,28,40,0.841385,0.101032,0.788559,-0.052826,0.099222,-0.275276,0.126238,0.401514,inconclusive,within_margin,0.6603,0.3397
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_multiset,8,28,40,0.567837,0.12261,0.32056,-0.247277,0.146723,-0.54824,0.021698,0.569938,inconclusive,rejected,0.843,0.157
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_sequence,8,28,40,0.501142,0.138686,0.176724,-0.324418,0.145262,-0.615837,-0.056277,0.55956,inconclusive,rejected,0.9465,0.0535
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.strengths,8,28,40,0.203981,0.059551,0.110742,-0.093239,0.073783,-0.254657,0.028768,0.283425,inconclusive,within_margin,0.5757,0.4243
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.opportunities,8,28,40,0.087836,0.042095,0.051402,-0.036434,0.046766,-0.145637,0.033614,0.179251,inconclusive,within_margin,0.9005,0.0995
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.areas_of_concern,8,28,40,0.087369,0.048602,0.004989,-0.08238,0.047546,-0.192322,-0.010929,0.181393,inconclusive,within_margin,0.6857,0.3143
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.recommendations,8,28,40,0.056001,0.043663,0.0024,-0.053601,0.042971,-0.159725,-0.000228,0.159497,inconclusive,within_margin,0.8598,0.1402
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M3.summary,8,28,40,0.755179,0.024833,0.743176,-0.012003,0.028498,-0.070173,0.040582,0.110755,demonstrated,within_margin,0.9982,0.0018
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.technical_craft,10,45,50,0.684619,0.115753,0.710734,0.026115,0.101648,-0.193083,0.204459,0.397542,inconclusive,within_margin,0.6382,0.3618
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.execution_excellence,10,45,50,0.648374,0.116779,0.411426,-0.236948,0.172739,-0.597717,0.072032,0.669749,inconclusive,rejected,0.7907,0.2093
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.customer_centric_outcomes,10,45,50,0.731519,0.11455,0.689041,-0.042478,0.101359,-0.247939,0.148295,0.396234,inconclusive,within_margin,0.6528,0.3472
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.accelerating_teams,10,45,50,0.84283,0.095084,0.787138,-0.055692,0.09659,-0.266946,0.111132,0.378078,inconclusive,within_margin,0.672,0.328
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_multiset,10,45,50,0.565556,0.117867,0.316816,-0.24874,0.141447,-0.548363,0.008694,0.557056,inconclusive,rejected,0.8572,0.1428
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_sequence,10,45,50,0.500064,0.133855,0.174066,-0.325998,0.140528,-0.612719,-0.059298,0.55342,inconclusive,rejected,0.9525,0.0475
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.strengths,10,45,50,0.203796,0.058158,0.11173,-0.092066,0.07298,-0.249932,0.028774,0.278706,inconclusive,within_margin,0.5705,0.4295
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.opportunities,10,45,50,0.087541,0.040392,0.051064,-0.036478,0.045247,-0.143864,0.031348,0.175212,inconclusive,within_margin,0.9052,0.0948
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.areas_of_concern,10,45,50,0.087084,0.045161,0.005008,-0.082077,0.043401,-0.182441,-0.01444,0.168001,inconclusive,within_margin,0.7043,0.2957
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.recommendations,10,45,50,0.05652,0.042342,0.002405,-0.054115,0.041598,-0.156092,-0.001565,0.154528,inconclusive,within_margin,0.8558,0.1442
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M3.summary,10,45,50,0.75568,0.023633,0.742668,-0.013012,0.028164,-0.069355,0.039049,0.108404,demonstrated,within_margin,0.9982,0.0018
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.technical_craft,12,66,60,0.685532,0.114246,0.706418,0.020885,0.09706,-0.18797,0.191159,0.379129,inconclusive,within_margin,0.68,0.32
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.execution_excellence,12,66,60,0.648026,0.113593,0.410206,-0.23782,0.17095,-0.587389,0.070817,0.658206,inconclusive,rejected,0.7945,0.2055
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.customer_centric_outcomes,12,66,60,0.728334,0.114196,0.687368,-0.040966,0.10101,-0.251551,0.146945,0.398496,inconclusive,within_margin,0.6542,0.3458
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.accelerating_teams,12,66,60,0.840813,0.093584,0.786522,-0.054291,0.094507,-0.259471,0.113024,0.372494,inconclusive,within_margin,0.6697,0.3303
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_multiset,12,66,60,0.571392,0.118189,0.320073,-0.251319,0.140735,-0.54602,-0.002213,0.543808,inconclusive,rejected,0.8582,0.1418
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M1.opportunity_sequence,12,66,60,0.506791,0.134672,0.176837,-0.329954,0.140269,-0.612512,-0.0719,0.540612,inconclusive,rejected,0.9567,0.0433
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.strengths,12,66,60,0.204931,0.056266,0.111506,-0.093424,0.070677,-0.248555,0.026227,0.274782,inconclusive,within_margin,0.5757,0.4243
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.opportunities,12,66,60,0.087335,0.037298,0.051453,-0.035882,0.041833,-0.131354,0.029091,0.160445,inconclusive,within_margin,0.925,0.075
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.areas_of_concern,12,66,60,0.087184,0.041646,0.00516,-0.082024,0.040074,-0.170073,-0.01869,0.151383,inconclusive,within_margin,0.702,0.298
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M2.recommendations,12,66,60,0.055833,0.039493,0.002387,-0.053446,0.038653,-0.144415,-0.002282,0.142133,inconclusive,within_margin,0.873,0.127
gpt-4o-2024-11-20,meta.llama4-maverick-17b-instruct-v1-0,M3.summary,12,66,60,0.75526,0.022725,0.743387,-0.011873,0.027355,-0.067798,0.03726,0.105058,demonstrated,within_margin,0.9988,0.0012
